AgeNormalized,HeightNormalized,WeightNormalized,Sex,Place of birth,Name,Country,Age,Height,Weight,Gold,Silver,Bronze,Total,Sport,Event
0.211538462,0.460674157,0.093406593,F,JPN ,Tomomi Abiko,Japan,24,173,53,0,0,0,0,Athletics,Women's Pole Vault
0.442307692,0.471910112,0.186813187,M,JPN ,Tomoyuki Matsuda,Japan,36,174,70,0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
0.25,0.516853933,0.258241758,M,CRO ,Tonci Stipanovic,Croatia,26,178,83,0,0,0,0,Sailing,Men's Laser
0.365384615,0.426966292,0.131868132,F,AUS ,Toni Cronk,Australia,32,170,60,0,0,0,0,Hockey,Women's Hockey
0.173076923,0.640449438,0.296703297,M,ROU ,Toni Ioneticu,Romania,22,189,90,0,0,0,0,Canoe Sprint,Men's Kayak Four (K4  1000m
0.307692308,0.561797753,0.214285714,M,GER ,Toni Wilhelm,Germany,29,182,75,0,0,0,0,Sailing,Men's RS-X
0.192307692,0.348314607,0.120879121,F,GBR ,Tonia Couch,Great Britain,23,163,58,0,0,0,0,Diving,Women's Synchronised 10m Platform
0.230769231,0.516853933,0.175824176,M,UMAS,Tontowi Ahmad,Indonesia,25,178,68,0,0,0,0,Badminton,Mixed Doubles
0.403846154,0.606741573,0.21978022,M,FRA ,Tony Estanguet,France,34,186,76,1,0,0,1,Canoe Slalom,Men's Canoe Single (C1 
0.211538462,0.528089888,0.197802198,M,FRA ,Tony Gallopin,France,24,179,72,0,0,0,0,Cycling - Road,Men's Road Race
0.461538462,0.460674157,0.203296703,M,BAYA,Tony Gunawan,United States of America,37,173,73,0,0,0,0,Badminton,Men's Doubles
0.269230769,0.606741573,0.214285714,M,GER ,Tony Martin,Germany,27,186,75,0,1,0,1,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
0.173076923,0.539325843,0.186813187,M,USA ,Tony McQuay,United States of America,22,180,70,0,0,0,0,Athletics,"Men's 400m, Men's 4 x 400m Relay"
0.403846154,0.370786517,0.104395604,F,CAN ,Tonya Lynn Verbeek,Canada,34,165,55,0,0,0,0,Wrestling,Women's 55kg Freestyle
0.442307692,0.561797753,0.263736264,M,DEN ,Torben Grimmel,Denmark,36,182,84,0,0,0,0,Shooting,Men's 50m Rifle Prone
0.230769231,0.393258427,0.115384615,F,USA ,Tori Pena,Ireland,25,167,57,0,0,0,0,Athletics,Women's Pole Vault
0.134615385,0.595505618,0.296703297,M,CAN ,Tory Nyhaug,Canada,20,185,90,0,0,0,0,Cycling - BMX,Men's BMX
0.269230769,0.426966292,0.159340659,M,JPN ,Toshiyuki Tanaka,Japan,27,170,65,0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, MARQUIS DE PLESCOP"
0.346153846,0.651685393,0.225274725,M,GBR ,Tosin Oke,Nigeria,31,190,77,0,0,0,0,Athletics,Men's Triple Jump
